"court","name_last","name_first","sex","term_begin_date","term_end_date","birth_date","death_date","term_begin_year","term_end_year","birth_year","death_year","term_begin_age","term_end_age","death_age","wikidata","gnd","comment","version","doi_concept","doi_version"
"BVerfG","Katz","Rudolf","M",1951-09-07,1961-07-23,1895-11-23,1961-07-23,1951,1961,1895,1961,55,65,65,"Q78326","124417620",NA,2021-04-08,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BVerfG","Wagner","Friedrich Wilhelm","M",1961-12-19,1967-10-18,1894-02-28,1971-03-27,1961,1967,1894,1971,67,73,77,"Q1463252","130410691",NA,2021-04-08,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BVerfG","Seuffert","Walter","M",1967-10-18,1975-11-07,1907-02-04,1989-12-28,1967,1975,1907,1989,60,68,82,"Q2546303","117471046",NA,2021-04-08,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BVerfG","Zeidler","Wolfgang","M",1975-11-07,1983-12-20,1924-09-02,1987-12-31,1975,1983,1924,1987,51,59,63,"Q109543","118828290",NA,2021-04-08,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BVerfG","Herzog","Roman","M",1983-12-20,1987-11-16,1934-04-05,2017-01-10,1983,1987,1934,2017,49,53,82,"Q2563","119155087",NA,2021-04-08,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BVerfG","Mahrenholz","Ernst Gottfried","M",1987-11-16,1994-03-24,1929-06-18,2021-01-28,1987,1994,1929,2021,58,64,91,"Q1358327","119169398",NA,2021-04-08,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BVerfG","Limbach","Jutta","F",1994-03-24,1994-09-14,1934-03-27,2016-09-10,1994,1994,1934,2016,59,60,82,"Q72551","115501258",NA,2021-04-08,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BVerfG","Henschel","Johann Friedrich","M",1994-09-29,1995-10-13,1931-06-10,2007-03-19,1994,1995,1931,2007,63,64,75,"Q1693574","108201325",NA,2021-04-08,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BVerfG","Seidl","Otto","M",1995-10-13,1998-02-27,1931-12-11,NA,1995,1998,1931,NA,63,66,NA,"Q2040611","1060157950",NA,2021-04-08,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BVerfG","Papier","Hans-Jürgen","M",1998-02-27,2002-04-10,1943-07-06,NA,1998,2002,1943,NA,54,58,NA,"Q103080","120095122",NA,2021-04-08,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BVerfG","Hassemer","Winfried","M",2002-04-10,2008-05-07,1940-02-17,2014-01-09,2002,2008,1940,2014,62,68,73,"Q105358","122137787",NA,2021-04-08,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BVerfG","Voßkuhle","Andreas","M",2008-05-07,2010-03-16,1963-12-21,NA,2008,2010,1963,NA,44,46,NA,"Q65673","121434885",NA,2021-04-08,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BVerfG","Kirchhof","Ferdinand","M",2010-03-16,2018-11-30,1950-06-21,NA,2010,2018,1950,NA,59,68,NA,"Q111735","13574198X",NA,2021-04-08,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BVerfG","Harbarth","Stephan","M",2018-11-30,2020-06-22,1971-12-19,NA,2018,2020,1971,NA,46,48,NA,"Q2801914","123502985",NA,2021-04-08,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BVerfG","König","Doris","F",2020-06-22,NA,1957-06-25,NA,2020,NA,1957,NA,62,NA,NA,"Q1245223","1020551534",NA,2021-04-08,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BVerwG","Külz","Helmut R.","M",1970-12-23,1971-07-31,1903-07-27,1985-09-24,1970,1971,1903,1985,67,68,82,"Q15815074","124089380",NA,2021-04-08,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BVerwG","VACANCY-1","VACANCY-1",NA,1971-08-01,1971-11-15,NA,NA,1971,1971,NA,NA,NA,NA,NA,NA,NA,NA,2021-04-08,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BVerwG","Fürst","Walther","M",1971-11-16,1976-08-18,1912-02-10,2009-10-23,1971,1976,1912,2009,59,64,97,"Q107154","120456516",NA,2021-04-08,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BVerwG","Sendler","Horst","M",1976-08-19,1980-02-29,1925-06-17,2006-01-13,1976,1980,1925,2006,51,54,80,"Q1629951","118991795",NA,2021-04-08,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BVerwG","Oppenheimer","Johannes","M",1980-03-01,1986-07-31,1918-07-10,2007-01-13,1980,1986,1918,2007,61,68,88,"Q1698112","1121451659",NA,2021-04-08,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BVerwG","Zehner","Günter","M",1986-08-01,1990-08-31,1923-08-29,2002-07-21,1986,1990,1923,2002,62,67,78,"Q15436141","104990430",NA,2021-04-08,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BVerwG","Schlichter","Otto","M",1990-09-01,1993-09-30,1930-07-14,2011-03-19,1990,1993,1930,2011,60,63,80,"Q2040448","119270269",NA,2021-04-08,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BVerwG","Franke","Ingeborg","F",1993-10-01,2000-05-31,1935-05-21,NA,1993,2000,1935,NA,58,65,NA,"Q15457297","1043161902",NA,2021-04-08,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BVerwG","VACANCY-2","VACANCY-2",NA,2000-06-01,2000-06-21,NA,NA,2000,2000,NA,NA,NA,NA,NA,NA,NA,NA,2021-04-08,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BVerwG","Hien","Eckart","M",2000-06-22,2002-09-30,1942-05-13,NA,2000,2002,1942,NA,58,60,NA,"Q111587","108081060",NA,2021-04-08,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BVerwG","Eckertz-Höfer","Marion","F",2002-10-01,2007-05-31,1948-11-23,NA,2002,2007,1948,NA,53,58,NA,"Q1692112","139058664",NA,2021-04-08,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BVerwG","Hund","Michael","M",2007-06-01,2011-10-31,NA,NA,2007,2011,1946,NA,NA,NA,NA,"Q1168622","1138715166","Born 1946; date of birth unknown",2021-04-08,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BVerwG","VACANCY-3","VACANCY-3",NA,2011-11-01,2012-11-20,NA,NA,2011,2012,NA,NA,NA,NA,NA,NA,NA,NA,2021-04-08,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BVerwG","Rennert","Klaus","M",2012-11-21,2014-06-30,1955-09-24,NA,2012,2014,1955,NA,57,58,NA,"Q1745601","1025101707",NA,2021-04-08,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BVerwG","Christ","Josef","M",2014-07-01,2017-11-30,NA,NA,2014,2017,1956,NA,NA,NA,NA,"Q1704444","1059406985","Born 1956; date of birth unknown",2021-04-08,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BVerwG","VACANCY-4","VACANCY-4",NA,2017-12-01,2019-05-21,NA,NA,2017,2019,NA,NA,NA,NA,NA,NA,NA,NA,2021-04-08,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BVerwG","Korbmacher","Andreas","M",2019-05-22,NA,NA,NA,2019,NA,1960,NA,NA,NA,NA,"Q498933","1125482664","Born 1960; date of birth unknown",2021-04-08,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BGH","Glanzmann","Roderich","M",1965-05-17,1972-04-30,1904-04-15,1988-08-07,1965,1972,1904,1988,61,68,84,"Q2161053","93603173",NA,2021-04-08,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BGH","VACANCY-1","VACANCY-1",NA,1972-05-01,1972-05-22,NA,NA,1972,1972,NA,NA,NA,NA,NA,NA,NA,NA,2021-04-08,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
